cascade_id,node_id,infection_time
50329,376989,1341101181.0
13813,376989,1341101192.0
8,453850,1341101208.0
50329,99258,1341101263.0
84647,75083,1341101732.0
8,325821,1341102141.0
8,408376,1341102802.0
463,247125,1341103262.0
8,47619,1341103646.0
64911,206362,1341104114.0
519,197097,1341105211.0
3604,416098,1341105342.0
4665,75470,1341106591.0
50218,50295,1341106676.0
33833,38819,1341106736.0
50218,38819,1341106765.0
3024,130621,1341106816.0
519,247674,1341106893.0
2687,114351,1341107042.0
8,195886,1341107090.0
33833,50222,1341107096.0
33833,46996,1341107718.0
519,445899,1341108571.0
8,33463,1341109784.0
8,146847,1341109862.0
7117,47517,1341110457.0
7117,121932,1341110468.0
7117,87074,1341110957.0
3024,9231,1341110958.0
7117,97154,1341111093.0
170862,281951,1341111580.0
519,357642,1341111879.0
8,296524,1341112376.0
8,152027,1341113010.0
3604,137652,1341113886.0
30225,64998,1341114221.0
11597,28962,1341114733.0
13813,176488,1341115012.0
42178,265559,1341115105.0
42178,52936,1341115946.0
42178,52936,1341115951.0
13813,391175,1341117220.0
3604,279985,1341117678.0
3604,317429,1341118009.0
13813,404330,1341118707.0
64911,132857,1341119346.0
35376,101238,1341119649.0
8,77058,1341119708.0
95871,351608,1341119754.0
88,180058,1341120580.0
64911,103447,1341120864.0
35376,101109,1341121067.0
8,16801,1341121164.0
12510,247581,1341121634.0
42178,42179,1341121656.0
42178,42179,1341121661.0
64911,42180,1341121844.0
42178,42180,1341121864.0
42178,42180,1341121873.0
519,414901,1341121987.0
62542,414901,1341122197.0
22849,222663,1341122212.0
42178,96537,1341122646.0
42178,96537,1341122658.0
1988,130712,1341122950.0
3604,53967,1341122958.0
519,153566,1341123028.0
1852,454953,1341124220.0
8,381704,1341124638.0
519,144996,1341124697.0
73973,297225,1341125131.0
3604,425343,1341125152.0
47756,413591,1341125838.0
12510,124454,1341125969.0
7117,9208,1341126347.0
1988,451768,1341126671.0
7117,212156,1341126898.0
3604,67371,1341126934.0
3604,89807,1341126985.0
519,368677,1341127299.0
9851,344200,1341127316.0
35376,351018,1341127683.0
13808,13123,1341127821.0
13808,109527,1341128678.0
7117,47519,1341129022.0
3604,405101,1341129340.0
553,50910,1341130009.0
2156,119553,1341130146.0
22849,166174,1341130156.0
553,10241,1341130326.0
2156,279316,1341130396.0
2156,10343,1341130436.0
2156,81105,1341130468.0
21606,442197,1341130607.0
21606,77999,1341130955.0
2156,193230,1341130955.0
553,26629,1341130964.0
21606,63839,1341131500.0
21606,332827,1341131826.0
2156,68223,1341132360.0
47666,387335,1341132467.0
21606,162639,1341132549.0
519,237987,1341132584.0
21606,432626,1341133319.0
519,189328,1341134076.0
2156,433504,1341134161.0
519,189328,1341134211.0
8,378310,1341134318.0
519,168424,1341134787.0
26136,183496,1341134946.0
88,93171,1341135058.0
11876,2303,1341135171.0
46754,374809,1341135250.0
47666,315402,1341135307.0
50329,56426,1341135624.0
47666,381956,1341135750.0
2156,443983,1341136330.0
519,36970,1341136373.0
5438,147717,1341136570.0
21606,314449,1341137322.0
64911,182906,1341137898.0
8,252235,1341138056.0
2156,124904,1341138306.0
5438,17283,1341138570.0
5438,101209,1341139035.0
5438,147228,1341139237.0
519,29559,1341139537.0
64911,206362,1341139590.0
