cascade_id,node_id,infection_time,interaction_type
10111,10111,1341319645.0,SEED
10111,109390,1341319645.0,MT
10111,230684,1341319753.0,RT
10111,359993,1341319771.0,MT
10111,10145,1341320182.0,MT
10111,418132,1341320217.0,MT
10111,312637,1341320466.0,MT
10111,312637,1341320493.0,RT
10111,219037,1341320841.0,MT
10111,339879,1341321646.0,MT
10111,237032,1341323738.0,RT
10111,117028,1341324948.0,RT
10111,166986,1341484750.0,MT
10111,221484,1341540892.0,MT
10111,109369,1341541918.0,MT
10111,5203,1341542545.0,MT
10111,51458,1341542585.0,MT
10111,5214,1341542965.0,MT
10111,77176,1341543360.0,MT
10111,133105,1341543981.0,MT
10111,77159,1341544094.0,MT
10111,205002,1341544335.0,MT
10111,109401,1341544395.0,MT
10111,5186,1341544591.0,MT
10111,221971,1341544883.0,MT
10111,549,1341545126.0,MT
10111,199847,1341545308.0,MT
10111,124,1341545510.0,MT
10111,321277,1341545547.0,MT
10111,159096,1341545686.0,MT
10111,303641,1341545717.0,RT
10111,291851,1341545796.0,MT
10111,400040,1341545958.0,MT
10111,199845,1341546008.0,MT
10111,109405,1341546015.0,MT
10111,221876,1341546296.0,MT
10111,77247,1341546453.0,MT
10111,72217,1341546467.0,MT
10111,66226,1341546902.0,MT
10111,77231,1341547011.0,MT
10111,77190,1341547214.0,MT
10111,332229,1341547216.0,MT
10111,72217,1341547226.0,MT
10111,77232,1341547574.0,MT
10111,133418,1341547629.0,MT
10111,456025,1341547646.0,MT
10111,77177,1341547830.0,MT
10111,311039,1341547833.0,MT
10111,312071,1341547860.0,MT
10111,169968,1341548122.0,MT
10111,72632,1341548185.0,MT
10111,325104,1341548427.0,MT
10111,238602,1341548468.0,MT
10111,43695,1341548652.0,MT
10111,285457,1341548770.0,MT
10111,109368,1341549005.0,MT
10111,339877,1341549186.0,MT
10111,88017,1341549440.0,MT
10111,41877,1341549925.0,MT
10111,136666,1341549998.0,MT
10111,77279,1341550385.0,MT
10111,215503,1341550395.0,MT
10111,298901,1341550425.0,MT
10111,271990,1341550698.0,MT
10111,33676,1341551059.0,MT
10111,420415,1341551545.0,MT
10111,87088,1341551898.0,MT
10111,117039,1341551996.0,MT
10111,209966,1341552203.0,MT
10111,25792,1341553192.0,MT
10111,226992,1341553801.0,MT
10111,132512,1341553952.0,MT
10111,285912,1341554105.0,MT
10111,199166,1341554260.0,MT
10111,215294,1341554359.0,MT
10111,77252,1341554404.0,MT
10111,77179,1341555082.0,MT
10111,243378,1341555534.0,MT
10111,102858,1341556450.0,MT
10111,356087,1341556656.0,MT
10111,293620,1341556891.0,MT
10111,81428,1341556908.0,MT
10111,171117,1341557272.0,MT
10111,296643,1341557753.0,MT
10111,303952,1341557949.0,MT
10111,242727,1341557964.0,MT
10111,385122,1341558028.0,RT
10111,293619,1341558315.0,MT
10111,282065,1341558431.0,MT
10111,79974,1341558949.0,RT
10111,118817,1341559197.0,MT
10111,28595,1341559628.0,MT
10111,218345,1341559704.0,MT
10111,223378,1341559760.0,MT
10111,220962,1341561364.0,MT
10111,419449,1341561511.0,MT
10111,77203,1341561760.0,MT
10111,77179,1341561998.0,MT
10111,250648,1341562025.0,MT
10111,403169,1341562217.0,MT
10111,365345,1341562244.0,MT
10111,121124,1341562398.0,MT
10111,448916,1341562734.0,MT
10111,80666,1341564234.0,MT
10111,316001,1341565099.0,RT
10111,198715,1341565420.0,MT
10111,379314,1341565628.0,MT
10111,87999,1341566123.0,MT
10111,77243,1341566159.0,MT
10111,314272,1341566378.0,MT
10111,77241,1341566957.0,MT
10111,303756,1341567282.0,MT
10111,77198,1341567607.0,MT
10111,414013,1341568096.0,MT
10111,323127,1341569727.0,MT
10111,239240,1341570084.0,MT
10111,437146,1341570808.0,MT
10111,77197,1341571214.0,MT
10111,345427,1341571841.0,MT
10111,452561,1341571868.0,MT
10111,453924,1341571916.0,MT
10111,397563,1341572671.0,MT
10111,131247,1341573671.0,MT
10111,447130,1341574310.0,MT
10111,232527,1341574685.0,MT
10111,221485,1341575071.0,MT
10111,199118,1341576355.0,MT
10111,195564,1341576697.0,MT
10111,77211,1341577319.0,MT
10111,77211,1341577344.0,MT
10111,77260,1341577484.0,MT
10111,77198,1341577488.0,MT
10111,77211,1341577520.0,MT
10111,77241,1341577734.0,MT
10111,71251,1341577940.0,MT
10111,364210,1341578520.0,MT
10111,125424,1341579735.0,MT
10111,408803,1341579899.0,MT
10111,107494,1341581193.0,MT
10111,344354,1341581519.0,MT
10111,125436,1341581710.0,MT
10111,185190,1341581766.0,MT
10111,285645,1341581862.0,MT
10111,349377,1341582329.0,MT
10111,362177,1341586664.0,MT
10111,125440,1341587022.0,MT
10111,353226,1341587091.0,MT
10111,261113,1341587746.0,MT
10111,85418,1341590738.0,MT
10111,239601,1341590799.0,RT
10111,77179,1341590994.0,MT
10111,286013,1341591160.0,RT
10111,360683,1341591185.0,MT
10111,102848,1341591802.0,MT
10111,162673,1341592297.0,MT
10111,109392,1341593458.0,MT
10111,10340,1341593581.0,MT
10111,45877,1341593987.0,MT
10111,118219,1341597237.0,MT
10111,217294,1341597238.0,MT
10111,325103,1341598026.0,MT
10111,77170,1341603519.0,MT
10111,39073,1341606438.0,MT
10111,215516,1341606501.0,MT
10111,228309,1341606514.0,MT
10111,43698,1341606548.0,MT
10111,380585,1341606590.0,MT
10111,344470,1341606629.0,MT
10111,175419,1341606646.0,MT
10111,110480,1341606701.0,MT
10111,322783,1341607212.0,MT
10111,310510,1341607217.0,MT
10111,312593,1341607553.0,MT
10111,321785,1341607910.0,MT
10111,322783,1341608477.0,MT
10111,283950,1341608517.0,MT
10111,324294,1341608520.0,MT
10111,420816,1341608652.0,MT
10111,152127,1341609259.0,MT
10111,292707,1341610137.0,MT
10111,77254,1341610610.0,MT
10111,274568,1341610994.0,MT
10111,77254,1341612493.0,MT
10111,355799,1341622020.0,MT
10111,355800,1341623060.0,MT
10111,77238,1341624487.0,MT
10111,109388,1341632274.0,MT
10111,370436,1341632731.0,MT
10111,456408,1341632791.0,MT
10111,388879,1341633302.0,MT
10111,77216,1341637574.0,MT
10111,77280,1341638528.0,MT
10111,236276,1341639472.0,MT
10111,191467,1341639696.0,MT
10111,183755,1341640584.0,RT
10111,277002,1341641130.0,MT
10111,79973,1341643039.0,MT
10111,82405,1341643170.0,MT
10111,363828,1341647893.0,MT
10111,107675,1341662783.0,MT
10111,433300,1341663669.0,MT
10111,408792,1341668149.0,MT
10111,131249,1341669882.0,MT
10111,386378,1341676536.0,MT
10111,365010,1341681220.0,MT
10111,285917,1341690479.0,MT
10121,10121,1341422422.0,SEED
10121,50945,1341422422.0,RT
10121,117970,1341422428.0,RT
10121,198176,1341422442.0,RT
10121,48281,1341422466.0,RT
10121,150803,1341422472.0,RT
10121,191629,1341422483.0,RT
10121,69597,1341422533.0,RT
10121,26132,1341422552.0,RT
10121,47263,1341422563.0,RT
10121,94098,1341422564.0,RT
10121,11050,1341422591.0,RT
10121,44803,1341422630.0,RT
10121,133448,1341422660.0,RT
10121,140575,1341422673.0,RT
10121,254257,1341422699.0,RT
10121,276824,1341422699.0,RT
10121,69567,1341422724.0,RT
10121,216057,1341422727.0,RT
10121,112121,1341422773.0,RT
10121,36864,1341422797.0,MT
10121,436293,1341422799.0,RT
10121,11037,1341422884.0,RT
