cascade_id,node_id,infection_time,interaction_type
550,550,1341322637.0,SEED
550,21881,1341322637.0,RT
550,30525,1341325941.0,RT
550,158923,1341326038.0,RT
550,41019,1341326101.0,RT
550,188461,1341326439.0,RT
550,99439,1341326914.0,RT
550,179759,1341327707.0,RT
550,234706,1341330152.0,RT
550,389553,1341387196.0,RT
550,79148,1341387755.0,RT
550,254067,1341388805.0,RT
550,339254,1341396439.0,RT
550,408309,1341409653.0,RT
550,241506,1341409801.0,RT
550,54656,1341409970.0,RT
550,199780,1341410023.0,RT
550,29042,1341410519.0,RT
550,142780,1341412365.0,RT
550,39970,1341414112.0,RT
550,37419,1341414181.0,RT
550,6405,1341414215.0,RT
550,46814,1341414226.0,RT
550,120630,1341414251.0,RT
550,239174,1341414470.0,RT
550,34170,1341414839.0,RT
550,266400,1341414925.0,RT
550,434678,1341414948.0,RT
550,27926,1341415032.0,RT
550,64928,1341415500.0,RT
550,141805,1341416205.0,RT
550,271788,1341416731.0,RT
550,74158,1341416800.0,RT
550,181390,1341417018.0,RT
550,297713,1341417720.0,RT
550,76465,1341418531.0,RT
550,6568,1341418678.0,RT
550,81415,1341427993.0,RT
550,392382,1341428511.0,RT
550,305319,1341428893.0,RT
550,37951,1341434454.0,RT
550,120964,1341434620.0,RT
550,317484,1341444724.0,RT
550,373225,1341463952.0,RT
550,138285,1341465705.0,RT
550,14594,1341487946.0,RT
550,102315,1341488259.0,RT
550,417282,1341597369.0,RT
550,420735,1341661475.0,RT
756,756,1341383748.0,SEED
756,15436,1341383748.0,RT
756,274606,1341383757.0,RT
756,111189,1341383765.0,RT
756,78359,1341383792.0,RT
756,56417,1341383822.0,RT
756,67993,1341383928.0,RT
756,175528,1341383934.0,RT
756,14767,1341384004.0,RT
756,86423,1341384062.0,RT
756,421856,1341384225.0,RT
756,16947,1341384490.0,RT
756,24433,1341384722.0,RT
756,60360,1341384842.0,RT
756,31178,1341384970.0,RT
756,37410,1341385157.0,RT
756,55069,1341385729.0,RT
756,276191,1341386229.0,RT
756,63432,1341386710.0,RT
756,134446,1341387682.0,RT
756,442153,1341387930.0,RT
756,12696,1341388840.0,RT
756,17811,1341389009.0,RT
756,2247,1341389057.0,RT
756,129998,1341389763.0,RT
756,202342,1341391109.0,RT
756,239042,1341391386.0,RT
756,53060,1341391970.0,RT
756,162602,1341392483.0,RT
756,67570,1341392690.0,RT
756,210610,1341393213.0,RT
756,89751,1341393925.0,RT
756,122690,1341399887.0,RT
756,416731,1341400063.0,RT
756,254211,1341402012.0,RT
756,54776,1341402579.0,RT
756,188817,1341403054.0,RT
756,124997,1341404344.0,RT
756,139459,1341404705.0,RT
756,139460,1341404955.0,RT
756,220317,1341406778.0,RT
756,81567,1341407300.0,RT
756,348471,1341410346.0,RT
756,340040,1341410473.0,RT
756,3077,1341417714.0,RT
756,162951,1341418805.0,RT
756,159681,1341590742.0,RT
756,13210,1341619099.0,RT
875,875,1341394858.0,SEED
875,101981,1341394858.0,RT
875,166179,1341394932.0,RT
875,30879,1341394934.0,RT
875,33570,1341394961.0,RT
875,240001,1341394979.0,RT
875,165037,1341395018.0,RT
875,57006,1341395030.0,RT
875,278220,1341395040.0,RT
875,279838,1341395124.0,RT
875,54935,1341395234.0,RT
875,364941,1341395243.0,RT
875,108347,1341395252.0,RT
875,208981,1341395300.0,RT
875,351019,1341395330.0,RT
875,144104,1341395543.0,RT
875,151115,1341395617.0,RT
875,328722,1341395625.0,RT
875,143291,1341395710.0,RT
875,246624,1341395887.0,RT
875,195132,1341396332.0,RT
875,112361,1341396408.0,RT
875,73699,1341396498.0,RT
875,82028,1341396564.0,RT
875,48976,1341396567.0,RT
875,339655,1341396568.0,RT
875,156920,1341396635.0,RT
875,59009,1341396688.0,RT
875,144639,1341396841.0,RT
875,137354,1341397782.0,RT
875,227559,1341397817.0,RT
875,422538,1341398005.0,RT
875,230778,1341398543.0,RT
875,147583,1341400869.0,RT
875,296528,1341402566.0,RT
875,71130,1341407103.0,RT
875,285359,1341411686.0,RT
875,134112,1341415906.0,RT
875,193738,1341416936.0,RT
875,18767,1341422948.0,RT
875,287551,1341423745.0,RT
875,191422,1341423746.0,RT
875,97385,1341430392.0,RT
875,336664,1341431595.0,RT
875,21169,1341464252.0,RT
875,210482,1341469547.0,RT
875,393442,1341630462.0,RT
875,47241,1341660808.0,RT
2160,2160,1341396754.0,SEED
2160,4301,1341396754.0,RT
2160,21757,1341396758.0,RT
2160,126450,1341396799.0,RT
2160,198922,1341396841.0,RT
2160,23979,1341396856.0,RT
2160,35816,1341396875.0,RT
2160,511,1341396885.0,RT
2160,85424,1341396937.0,RT
2160,49610,1341396961.0,RT
2160,45948,1341397001.0,RT
2160,93057,1341397001.0,RT
2160,71027,1341397012.0,RT
2160,356085,1341397023.0,RT
2160,7497,1341397089.0,RT
2160,17075,1341397102.0,RT
2160,34547,1341397108.0,RT
2160,103687,1341397191.0,RT
2160,52905,1341397293.0,RT
2160,19366,1341397341.0,RT
2160,15741,1341397380.0,RT
2160,58715,1341397419.0,RT
2160,211446,1341397419.0,RT
2160,179048,1341397444.0,RT
2160,242884,1341397514.0,RT
2160,27961,1341397966.0,RT
2160,45514,1341398069.0,RT
2160,49475,1341398073.0,RT
2160,10453,1341398134.0,RT
2160,112434,1341398140.0,RT
2160,7100,1341398183.0,RT
2160,100018,1341398287.0,RT
2160,281077,1341398362.0,RT
2160,42167,1341398474.0,RT
2160,91155,1341398512.0,RT
2160,171855,1341398623.0,RT
2160,62905,1341398629.0,RT
2160,136979,1341398681.0,RT
2160,35977,1341399258.0,RT
2160,67215,1341400184.0,RT
2160,48367,1341400383.0,RT
2160,48367,1341400403.0,RT
2160,156211,1341403855.0,RT
2160,449838,1341403855.0,RT
2160,44637,1341407434.0,RT
2160,215675,1341407695.0,RT
2160,13986,1341410028.0,RT
2160,8839,1341411361.0,RT
2160,176940,1341412753.0,RT
2160,217314,1341422984.0,RT
2160,17262,1341444190.0,RT
2839,2839,1341400108.0,SEED
2839,57076,1341400108.0,RT
2839,223771,1341400178.0,RT
2839,187359,1341400186.0,RT
2839,7905,1341400440.0,RT
2839,15848,1341400440.0,RT
