source,target,beta
221630,100062,0.008931102829748766
107800,10032,0.0003571998414920944
11362,10032,0.00035700775574784474
140046,10032,0.00035689030457979244
160657,10032,0.0003534132574383514
174027,10032,0.0003570191730089028
18900,10032,0.0003568949991331965
28962,10032,0.00035337524082581487
67315,10032,0.0003570956956810152
67517,10032,0.00035702683700782685
7242,10032,0.0003570887620320844
76408,10032,0.0003537095681718713
84215,10032,0.00035711552832021356
132641,101061,0.013352299565926198
106399,101624,0.0002940751370303529
119268,101624,0.0002941276522462737
190273,101624,0.00029410584950199156
239790,101624,0.0002940911413606164
37844,101624,0.0002941311133344008
58395,101624,0.0002941030807629249
959,101624,0.0002940751354830131
70397,103043,0.02272732943922141
123978,105524,4.3260339179685764e-05
123979,105524,4.321058401308008e-05
160833,105524,4.301723569634367e-05
174862,105524,4.438762673533899e-05
18906,105524,4.2999663189520125e-05
198133,105524,4.31651496172472e-05
206815,105524,4.300353762034905e-05
208710,105524,4.302394591337315e-05
23261,105524,4.3013112284628606e-05
24539,105524,4.2794742595848424e-05
24540,105524,4.2974475487431274e-05
24557,105524,4.2794742595848424e-05
29699,105524,4.301245559727948e-05
34526,105524,4.314582455944007e-05
424028,105524,4.301376267713755e-05
76823,105524,4.353645939234497e-05
9384,105524,4.298329618496755e-05
86623,107091,0.011260187569454802
11362,107800,0.0004161600316874298
140046,107800,0.0004160421891140867
160657,107800,0.0004125527978857182
174027,107800,0.0004161715023875339
18900,107800,0.00041604688656349275
28962,107800,0.0004125145213731121
67315,107800,0.00041624827733163387
67517,107800,0.0004161791944837465
7242,107800,0.0004162413284570664
76408,107800,0.00041285024894963806
84215,107800,0.0004162682144843652
24751,107944,0.0007042000111594602
24758,107944,0.0007042006059206993
100062,109013,2.36212103373964e-05
107944,109013,2.2957530692836027e-05
111473,109013,2.3610455107431036e-05
120872,109013,2.3104569626343772e-05
206556,109013,2.48810273759637e-05
221630,109013,2.3611157193190154e-05
24751,109013,2.2893848430513066e-05
24755,109013,2.3609016435840292e-05
24758,109013,2.2893848430513066e-05
272778,109013,2.3640311839820765e-05
303963,109013,2.3970469113169967e-05
122051,109787,0.004803575541473186
152589,109787,0.004803551380177521
157006,109787,0.004803544214941104
173428,109787,0.004803580134279882
3449,109787,0.004803544214941104
34856,109787,0.004803551655866598
37139,109787,0.004803573612116573
83042,109787,0.004803589964306077
12949,111117,0.00012817132012051045
20120,111117,0.00012816430697590187
210927,111117,0.00012820520642056594
22775,111117,0.00012816313901201177
22781,111117,0.00012816313901201177
22832,111117,0.00012821302671126388
229969,111117,0.00012817904912294236
251691,111117,0.0001281652948484712
310613,111117,0.00012821302671126388
34020,111117,0.00012824098372617632
46673,111117,0.00012817931831897572
46961,111117,0.00012823082441379825
48678,111117,0.00012816484653440494
48933,111117,0.00012816970099835382
61220,111117,0.00012821473465748922
98728,111117,0.00012817293750961954
332409,111464,0.01925012033420763
24755,111473,0.06250253078768662
101061,111478,0.018887006623131624
140046,11362,0.00018995725250926934
160657,11362,0.00018687519653456315
18900,11362,0.00018996139828843987
28962,11362,0.00018684146110723698
76408,11362,0.00018713795560036976
10032,11366,0.00016073168114724319
107800,11366,0.00016059762209605596
11362,11366,0.000160426898812938
140046,11366,0.0001603224940105219
153457,11366,0.0001608856331585636
160657,11366,0.00015723175698786941
174027,11366,0.00016043703607213384
18900,11366,0.00016032666235118185
287026,11366,0.00016771561484884036
28864,11366,0.00016080415684148884
28962,11366,0.00015719793093706168
438177,11366,0.00016102547359185413
61048,11366,0.00016117734296387578
67315,11366,0.00016050505948049054
67517,11366,0.00016044385708988013
7242,11366,0.0001604989031564985
76408,11366,0.00015749523373610112
84215,11366,0.0001605226806879249
115844,114359,4.727382151316781e-07
135710,114359,3.689519855830316e-06
149293,114359,3.2353839760562975e-06
19929,114359,2.6327638012804974e-08
21293,114359,5.710095318838015e-07
21312,114359,4.1661154092120365e-07
22359,114359,5.185638403193576e-08
277974,114359,6.4186791102233e-07
32113,114359,8.934191856534787e-08
49859,114359,1.869125931666517e-07
52112,114359,9.070745696206589e-07
83663,114359,2.5988008267175176e-07
88935,114359,2.9578254982180985e-08
98170,114359,1.1912855821151367e-06
9996,114359,1.6744217649942632e-07
19927,114539,0.10002331015061446
268277,115742,0.004927081340595409
1138,115844,0.00033618906958740564
120164,115844,0.00033621317438961655
19929,115844,0.0003363449686845574
21312,115844,0.00033675785043117495
213384,115844,0.0003361890778393484
22359,115844,0.0003363718915887144
32113,115844,0.00033641152054994993
49859,115844,0.0003365148869468977
83663,115844,0.00033659207786509185
88935,115844,0.00033634845244671793
90562,115844,0.0003362718215672988
9996,115844,0.00033649427092465506
361546,116221,0.027027421561651065
19965,117017,0.010000423385652784
68798,118057,0.031275084479758616
8908,118060,0.005863425351619347
190273,119268,0.003968309212972021
1138,120164,0.0019531154183619465
213384,120164,0.001953116714123803
107944,120872,0.0006097496715937406
37139,122051,0.04761914370192958
116221,122272,0.0001258095060957973
14598,122272,0.00012573912173745086
194547,122272,0.00012580473227047365
273010,122272,0.00012574354927566506
31310,122272,0.00012573912087224487
31594,122272,0.00012579266949060478
341599,122272,0.00012574424186666405
361546,122272,0.00012580629474494395
398147,122272,0.0001257620335187035
405505,122272,0.00012583606287176302
67714,122272,0.00012574910232101958
72026,122272,0.0001257823417936576
123979,123978,0.00013717931748962186
160833,123978,0.00013699285880002445
18906,123978,0.0001369759176458878
198133,123978,0.00013713549558236313
206815,123978,0.00013697964338292375
208710,123978,0.0001369993361742113
23261,123978,0.00013698887140878104
24539,123978,0.00013677828972816775
24540,123978,0.00013695161833541673
24557,123978,0.00013677828972816775
29699,123978,0.00013698824892870333
34526,123978,0.0001371168617703822
424028,123978,0.00013698949099452093
9384,123978,0.00013696013199787792
198133,123979,0.002026312833536589
126889,125072,5.896781403971365e-05
131419,125072,5.896477477047236e-05
139516,125072,5.898205226041544e-05
153769,125072,5.9089470876938654e-05
180497,125072,5.8974777113204754e-05
218214,125072,5.91398685481531e-05
2387,125072,5.8964160287802006e-05
264474,125072,6.020051836909199e-05
26743,125072,5.8993161112846794e-05
29275,125072,5.8964160287802006e-05
29641,125072,5.9222316357725894e-05
38783,125072,5.911857680361097e-05
453677,125072,5.9035020556207256e-05
50648,125072,5.897496217305481e-05
69815,125072,5.8994022434826964e-05
89871,125072,5.9105595058690755e-05
253027,125417,0.04166726006454232
131419,126889,0.03571428432273241
48933,12949,0.055555581389399415
2387,131419,0.0833333330628453
29275,131419,0.08333333307638066
109013,132641,2.9629904812410786e-09
197988,132641,0.3333521865539158
123162,132833,0.009090907173367583
13137,132833,0.009090907200973955
138444,13460,2.1049623328110424e-06
142669,13460,1.627042135889043e-05
156248,13460,1.0789410211282268e-05
159565,13460,2.1475367699012075e-06
160430,13460,2.113488376422421e-06
180544,13460,2.134378463413541e-06
20169,13460,6.299596807566413e-06
20373,13460,1.4198006884759886e-06
209613,13460,2.0436943509879962e-06
33784,13460,1.4625380428495547e-06
33793,13460,8.678569061995843e-06
33806,13460,2.0359133518249242e-06
3430,13460,8.856682903203265e-06
419609,13460,7.316009924456533e-06
51181,13460,1.4341974798379653e-06
60380,13460,2.1210183665636534e-06
62457,13460,1.9980360389110913e-05
89707,13460,2.082941006146917e-06
98356,13460,1.0836610815746857e-05
1138,135710,2.1032270551983362e-05
115844,135710,2.1657605447597384e-05
120164,135710,2.1056274594283777e-05
149293,135710,2.4567517165013278e-05
19929,135710,2.118746735364004e-05
21293,135710,2.176116952656113e-05
21312,135710,2.1598561311608456e-05
213384,135710,2.10322275404334e-05
22359,135710,2.121434583101002e-05
277974,135710,2.1835723575200706e-05
32113,135710,2.1253753587280805e-05
49859,135710,2.1356674775083865e-05
52112,135710,2.2115071350819974e-05
83663,135710,2.143351386070723e-05
88935,135710,2.1190993818367413e-05
90562,135710,2.111463192683807e-05
98170,135710,2.2414497619092107e-05
9996,135710,2.1336124299078206e-05
240855,137356,0.007578309227952807
89707,138444,0.004952184847481782
125072,138494,1.0499843956015676e-05
126889,138494,8.602585495526902e-06
131419,138494,8.599606717891071e-06
139516,138494,8.616086548274776e-06
153769,138494,8.7180734624481e-06
180497,138494,8.609087248730284e-06
218214,138494,8.7659684105045e-06
2387,138494,8.598940785772117e-06
264474,138494,9.773069766574883e-06
26743,138494,8.626622981781288e-06
29275,138494,8.598940785772117e-06
29641,138494,8.844261088411476e-06
38783,138494,8.745755876730944e-06
