cascade_id,node_id,infection_time,interaction_type
138,138,1341289115.0,SEED
138,285115,1341289115.0,RT
138,276335,1341289121.0,MT
138,115580,1341289129.0,MT
138,356981,1341289132.0,RT
138,191551,1341289133.0,MT
138,437138,1341289133.0,RT
138,426459,1341289134.0,RT
138,231506,1341289135.0,RT
138,345303,1341289137.0,RT
138,388735,1341289142.0,RT
138,174183,1341289145.0,RT
138,408435,1341289147.0,RT
138,376993,1341289149.0,RT
138,392290,1341289150.0,RT
138,448751,1341289150.0,RT
138,279173,1341289151.0,RT
138,397777,1341289152.0,RT
138,380770,1341289153.0,RT
138,262225,1341289154.0,RT
138,381916,1341289155.0,MT
138,433677,1341289155.0,RT
138,371882,1341289156.0,RT
138,291010,1341289160.0,RT
138,414835,1341289160.0,RT
138,274884,1341289161.0,RT
138,374285,1341289163.0,RT
138,135832,1341289167.0,RT
138,205001,1341289167.0,RT
138,298993,1341289167.0,RT
138,120630,1341289170.0,RT
138,203426,1341289175.0,RT
138,264238,1341289177.0,RT
138,101024,1341289178.0,RT
138,2731,1341289183.0,RT
138,333933,1341289184.0,RT
138,40782,1341289184.0,RT
138,408658,1341289184.0,RT
138,365817,1341289186.0,RT
138,207584,1341289190.0,RT
138,239152,1341289191.0,RT
138,318395,1341289193.0,RT
138,368756,1341289194.0,RT
138,50226,1341289199.0,RT
138,315495,1341289202.0,RT
138,45200,1341289203.0,RT
138,234092,1341289204.0,RT
138,181582,1341289205.0,RT
138,258523,1341289208.0,RT
138,202136,1341289210.0,RT
138,342724,1341289210.0,RT
138,402767,1341289210.0,RT
138,93705,1341289218.0,RT
138,360664,1341289223.0,RT
138,242168,1341289225.0,RT
138,109801,1341289230.0,RT
138,368810,1341289234.0,RT
138,151018,1341289235.0,RT
138,256026,1341289237.0,RT
138,420623,1341289237.0,MT
138,439975,1341289237.0,RT
138,265443,1341289240.0,RT
138,70769,1341289240.0,RT
138,238959,1341289241.0,MT
138,283362,1341289241.0,RT
138,226947,1341289244.0,MT
138,256903,1341289244.0,RT
138,183628,1341289246.0,RT
138,419556,1341289247.0,RT
138,455489,1341289248.0,RT
138,231521,1341289251.0,RT
138,212971,1341289252.0,RT
138,279089,1341289252.0,RT
138,36634,1341289255.0,RT
138,237324,1341289257.0,RT
138,94201,1341289258.0,RT
138,250729,1341289260.0,RT
138,262408,1341289260.0,MT
138,208425,1341289263.0,RT
138,398452,1341289263.0,RT
138,372676,1341289264.0,RT
138,234789,1341289268.0,RT
138,455526,1341289270.0,RT
138,394010,1341289272.0,MT
138,49419,1341289274.0,RT
138,250803,1341289277.0,RT
138,423586,1341289277.0,RT
138,427943,1341289277.0,RT
138,344554,1341289281.0,RT
138,425868,1341289283.0,RT
138,329127,1341289287.0,RT
138,439848,1341289291.0,MT
138,198897,1341289292.0,MT
138,412587,1341289294.0,RT
138,427943,1341289294.0,MT
138,311326,1341289297.0,MT
138,238678,1341289299.0,RT
138,348175,1341289300.0,RT
138,262935,1341289301.0,RT
138,139513,1341289303.0,RT
138,276633,1341289303.0,MT
138,320511,1341289310.0,RT
138,268503,1341289315.0,MT
138,430439,1341289315.0,RT
138,217577,1341289320.0,RT
138,138418,1341289322.0,MT
138,421065,1341289323.0,RT
138,354099,1341289326.0,RT
138,435221,1341289327.0,RT
138,89119,1341289328.0,MT
138,154124,1341289329.0,MT
138,354330,1341289329.0,RT
138,169099,1341289334.0,RT
138,131571,1341289335.0,RT
138,374577,1341289336.0,RT
138,259922,1341289339.0,MT
138,348035,1341289347.0,MT
138,446299,1341289347.0,RT
138,300649,1341289348.0,RT
138,429244,1341289351.0,RT
138,317724,1341289355.0,RT
138,412046,1341289355.0,RT
138,186106,1341289356.0,MT
138,132404,1341289358.0,MT
138,445937,1341289361.0,RT
138,297637,1341289366.0,MT
138,182870,1341289367.0,MT
138,285329,1341289368.0,RT
138,348035,1341289368.0,MT
138,296636,1341289370.0,MT
138,265767,1341289375.0,MT
138,395802,1341289377.0,RT
138,160577,1341289379.0,RT
138,247542,1341289380.0,RT
138,262582,1341289384.0,MT
138,273683,1341289384.0,MT
138,286955,1341289384.0,RT
138,295530,1341289390.0,RT
138,38247,1341289393.0,MT
138,400030,1341289394.0,RT
138,45057,1341289394.0,RT
138,137484,1341289404.0,RT
138,277936,1341289405.0,RT
138,354136,1341289407.0,MT
138,228295,1341289415.0,MT
138,74984,1341289419.0,RT
138,255689,1341289423.0,MT
138,255689,1341289423.0,RE
138,209652,1341289426.0,MT
138,247849,1341289426.0,MT
138,68217,1341289427.0,RT
138,23252,1341289428.0,MT
138,396682,1341289428.0,RT
138,396500,1341289430.0,RT
138,84819,1341289437.0,MT
138,238133,1341289438.0,RT
138,428119,1341289440.0,MT
138,347549,1341289447.0,RT
138,382456,1341289450.0,RT
138,364163,1341289451.0,RT
138,302183,1341289453.0,MT
138,255078,1341289457.0,RT
138,196422,1341289459.0,RT
138,244756,1341289462.0,RT
138,405441,1341289465.0,MT
138,345208,1341289470.0,RT
138,443582,1341289472.0,RT
138,413420,1341289473.0,RT
138,137958,1341289474.0,RT
138,166481,1341289474.0,RT
138,274743,1341289477.0,RT
138,180193,1341289481.0,RT
138,259705,1341289481.0,RT
138,313022,1341289483.0,RT
138,337027,1341289483.0,MT
138,154808,1341289484.0,RT
138,137578,1341289486.0,RT
138,433095,1341289486.0,RT
138,381645,1341289489.0,RT
138,271135,1341289493.0,RT
138,309138,1341289498.0,RT
138,63427,1341289502.0,RT
138,274513,1341289509.0,RT
138,330555,1341289509.0,RT
138,149479,1341289510.0,RT
138,264859,1341289511.0,MT
138,167538,1341289515.0,RT
138,353544,1341289520.0,RT
138,64229,1341289524.0,MT
138,153231,1341289526.0,MT
138,408878,1341289532.0,RT
138,124386,1341289539.0,RT
138,334074,1341289544.0,RT
138,248528,1341289545.0,RT
138,197592,1341289552.0,RT
138,261948,1341289553.0,RT
138,287447,1341289554.0,MT
138,125360,1341289559.0,RT
138,238757,1341289567.0,RT
138,443255,1341289567.0,RT
138,380551,1341289568.0,RT
138,168441,1341289575.0,RT
138,322114,1341289581.0,RT
138,259568,1341289583.0,MT
138,371543,1341289591.0,RT
138,392281,1341289603.0,RT
138,433069,1341289609.0,RT
138,125405,1341289610.0,RT
138,148790,1341289614.0,RT
138,88849,1341289614.0,RT
138,68410,1341289615.0,RT
138,137462,1341289618.0,RT
138,383843,1341289618.0,RT
138,262564,1341289621.0,RT
138,249380,1341289622.0,RT
138,290501,1341289624.0,RT
138,340518,1341289628.0,RT
138,150574,1341289631.0,MT
138,382391,1341289632.0,MT
138,288917,1341289644.0,MT
138,251706,1341289646.0,RT
138,374521,1341289650.0,RT
138,184117,1341289656.0,RT
138,127872,1341289659.0,RT
138,317751,1341289664.0,RT
138,245349,1341289667.0,RT
138,436600,1341289668.0,RT
138,364251,1341289672.0,RT
138,328467,1341289677.0,RT
138,431668,1341289688.0,RT
138,197041,1341289693.0,RT
138,445232,1341289698.0,RT
138,418931,1341289714.0,RT
138,273141,1341289715.0,RT
138,210748,1341289726.0,MT
138,219336,1341289728.0,RT
138,420212,1341289736.0,RT
138,324429,1341289740.0,MT
138,49220,1341289743.0,RT
138,281571,1341289763.0,RT
138,309051,1341289778.0,RT
138,332486,1341289797.0,RT
138,240377,1341289799.0,RT
138,312243,1341289802.0,RT
138,160485,1341289807.0,RT
138,319493,1341289808.0,MT
138,248509,1341289819.0,RT
138,282562,1341289821.0,RT
138,309728,1341289823.0,MT
138,279879,1341289832.0,MT
138,374875,1341289840.0,RT
138,112739,1341289841.0,RT
138,281500,1341289844.0,RT
138,122815,1341289858.0,RT
138,252898,1341289872.0,RT
138,399803,1341289883.0,RT
138,315594,1341289896.0,RT
138,394737,1341289901.0,MT
138,245373,1341289902.0,RT
138,245374,1341289902.0,RT
138,178892,1341289913.0,RT
138,397465,1341289913.0,RT
138,300186,1341289918.0,RT
138,333674,1341289926.0,RT
138,366161,1341289929.0,RT
138,42569,1341289935.0,RT
138,378576,1341289937.0,RT
138,179890,1341289940.0,MT
138,201749,1341289946.0,RT
138,269258,1341289951.0,MT
138,249078,1341289953.0,RT
138,310180,1341289956.0,RT
138,328,1341289961.0,MT
138,7065,1341289976.0,MT
138,255300,1341289985.0,RT
138,70169,1341289986.0,RT
138,303357,1341289995.0,RT
138,376402,1341290011.0,RT
138,213534,1341290027.0,RT
138,187292,1341290046.0,RT
138,261712,1341290053.0,RT
138,386495,1341290061.0,RT
138,26430,1341290104.0,RT
138,24271,1341290112.0,MT
138,368258,1341290114.0,RT
138,325463,1341290116.0,RT
138,389792,1341290121.0,RT
138,358794,1341290126.0,RT
138,5016,1341290134.0,RT
138,411454,1341290148.0,RT
138,315594,1341290149.0,MT
138,384625,1341290155.0,RT
138,365734,1341290160.0,RT
138,419521,1341290168.0,RT
138,52696,1341290181.0,MT
138,270442,1341290189.0,RT
138,305244,1341290202.0,RT
138,452871,1341290241.0,MT
138,150234,1341290245.0,MT
138,411269,1341290252.0,RT
138,387679,1341290253.0,RT
138,379852,1341290255.0,RT
138,264049,1341290258.0,RT
138,415517,1341290266.0,RT
138,371040,1341290267.0,RT
138,431931,1341290282.0,RT
138,424075,1341290284.0,RT
138,137117,1341290292.0,RT
138,199167,1341290293.0,RT
138,395652,1341290301.0,RT
138,316489,1341290307.0,RT
138,303050,1341290323.0,RT
138,274043,1341290331.0,RT
138,255189,1341290334.0,RT
138,451523,1341290342.0,MT
138,184496,1341290349.0,RT
138,257961,1341290351.0,RT
138,244602,1341290359.0,MT
138,255189,1341290382.0,MT
138,455485,1341290384.0,MT
138,313703,1341290395.0,RT
138,402051,1341290395.0,RT
138,210390,1341290398.0,MT
138,304597,1341290408.0,RT
138,184994,1341290412.0,RT
138,416489,1341290419.0,RT
138,6398,1341290419.0,RT
138,176590,1341290426.0,RT
138,258869,1341290433.0,RT
138,399894,1341290433.0,MT
138,261114,1341290434.0,RT
138,398811,1341290435.0,MT
138,313911,1341290437.0,RT
138,236987,1341290447.0,RT
138,295914,1341290462.0,RT
138,143512,1341290511.0,RT
138,278317,1341290531.0,RT
138,269514,1341290539.0,RT
138,79921,1341290561.0,RT
138,313368,1341290566.0,RT
138,387273,1341290566.0,RT
138,218210,1341290608.0,RT
138,226499,1341290610.0,RT
138,299842,1341290613.0,RT
138,249718,1341290618.0,RT
138,105574,1341290625.0,RT
138,277479,1341290634.0,MT
138,181409,1341290652.0,RT
138,331127,1341290655.0,RT
138,171114,1341290678.0,RT
138,262360,1341290679.0,RT
