k,precision_directed,precision_undirected
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.08333333333333333,0.08333333333333333
13,0.07692307692307693,0.07692307692307693
14,0.07142857142857142,0.07142857142857142
15,0.06666666666666667,0.06666666666666667
16,0.0625,0.0625
17,0.058823529411764705,0.058823529411764705
18,0.05555555555555555,0.05555555555555555
19,0.05263157894736842,0.05263157894736842
20,0.05,0.05
21,0.047619047619047616,0.047619047619047616
22,0.045454545454545456,0.045454545454545456
23,0.043478260869565216,0.043478260869565216
24,0.041666666666666664,0.041666666666666664
25,0.04,0.04
26,0.038461538461538464,0.038461538461538464
27,0.037037037037037035,0.037037037037037035
28,0.03571428571428571,0.03571428571428571
29,0.034482758620689655,0.034482758620689655
30,0.03333333333333333,0.03333333333333333
31,0.03225806451612903,0.03225806451612903
32,0.03125,0.03125
33,0.030303030303030304,0.030303030303030304
34,0.029411764705882353,0.029411764705882353
35,0.02857142857142857,0.02857142857142857
36,0.027777777777777776,0.027777777777777776
37,0.02702702702702703,0.02702702702702703
38,0.02631578947368421,0.02631578947368421
39,0.02564102564102564,0.02564102564102564
40,0.025,0.025
41,0.024390243902439025,0.024390243902439025
42,0.023809523809523808,0.023809523809523808
43,0.023255813953488372,0.023255813953488372
44,0.022727272727272728,0.022727272727272728
45,0.022222222222222223,0.022222222222222223
46,0.021739130434782608,0.021739130434782608
47,0.02127659574468085,0.02127659574468085
48,0.041666666666666664,0.041666666666666664
49,0.061224489795918366,0.061224489795918366
50,0.08,0.08
51,0.0784313725490196,0.0784313725490196
52,0.07692307692307693,0.07692307692307693
53,0.07547169811320754,0.07547169811320754
54,0.07407407407407407,0.07407407407407407
55,0.07272727272727272,0.07272727272727272
56,0.07142857142857142,0.07142857142857142
57,0.07017543859649122,0.07017543859649122
58,0.06896551724137931,0.06896551724137931
59,0.06779661016949153,0.06779661016949153
60,0.06666666666666667,0.06666666666666667
61,0.06557377049180328,0.06557377049180328
